Gulce,2,0,700,GAME_OVER,1/2/2026 23:34
Gulce,3,0,600,EXIT,1/2/2026 23:37
Gulce,1,0,500,EXIT,1/3/2026 1:39
Gulce,2,2780,1240,GAME_OVER,1/3/2026 1:48
Gulce,1,600,550,GAME_OVER,1/3/2026 2:22
Gulce,2,0,700,EXIT,1/3/2026 2:26
Gulce,2,0,600,EXIT,1/3/2026 2:27
Gulce,2,3160,1630,GAME_OVER,1/3/2026 2:36
Gulce,2,0,700,GAME_OVER,1/3/2026 2:38
Gulce,2,0,320,EXIT,1/3/2026 2:45
Gulce,2,0,700,EXIT,1/3/2026 2:46
Gulce,1,0,600,EXIT,1/3/2026 2:46
Gulce,1,0,220,EXIT,1/3/2026 2:48
Gulce,1,0,300,EXIT,1/3/2026 2:49
Gulce,2,0,320,EXIT,1/3/2026 3:02
Gulce,2,0,300,EXIT,1/3/2026 3:04
Gulce,2,0,880,EXIT,1/3/2026 3:06
Gulce,2,0,1965,EXIT,1/3/2026 3:10
Gulce,2,0,480,EXIT,1/3/2026 3:11
Gulce,2,0,500,EXIT,1/3/2026 3:12
Gulce,2,3200,2120,GAME_OVER,1/3/2026 3:15
Gulce,2,0,400,EXIT,1/3/2026 3:16
Guest,1,0,700,GAME_OVER,1/3/2026 3:17
Gulce,3,0,320,EXIT,1/3/2026 3:38
Gulce,2,0,140,EXIT,1/3/2026 3:39
Gulce,2,6580,1095,GAME_OVER,1/3/2026 15:32
Gulce,1,1080,680,GAME_OVER,1/3/2026 21:07
Gulce,1,3000,1875,GAME_OVER,1/3/2026 21:31
Gulce,1,0,600,EXIT,1/3/2026 21:38
Gulce,2,8780,85,GAME_OVER,1/3/2026 22:30
Gulce,2,5440,200,GAME_OVER,1/4/2026 11:09
Gulce,2,0,350,EXIT,1/4/2026 11:10
Gulce,2,5740,1995,GAME_OVER,1/5/2026 19:31
Gulce,2,0,700,EXIT,1/5/2026 19:31
Gulce,2,0,310,EXIT,1/5/2026 19:46
Gulce,3,0,700,EXIT,1/5/2026 19:47
Gulce,1,0,700,GAME_OVER,1/5/2026 19:47
Gulce,1,0,700,GAME_OVER,1/5/2026 19:48
Gulce,3,0,700,EXIT,1/5/2026 19:49
Gulce,1,0,700,GAME_OVER,1/5/2026 19:49
Gulce,1,0,700,GAME_OVER,1/5/2026 19:52
Gulce,1,4260,1575,GAME_OVER,1/5/2026 19:57
Gulce,1,0,700,GAME_OVER,1/5/2026 19:58
Gulce,1,0,300,EXIT,1/5/2026 19:59
Gulce,1,6400,205,GAME_OVER,1/5/2026 20:30
Gulce,1,0,700,GAME_OVER,1/5/2026 20:31
Gulce,2,0,700,GAME_OVER,1/5/2026 20:34
Gulce,1,0,700,EXIT,1/5/2026 20:38
Gulce,3,0,500,EXIT,2026-01-05 20:42:57
Gulce,2,5100,10,GAME_OVER,2026-01-10 09:15:05
Gulce,2,0,200,EXIT,2026-01-10 09:15:33
Gulce,2,5960,230,GAME_OVER,2026-01-10 09:38:05
Gulce,2,0,575,EXIT,2026-01-10 09:38:58
Gulce,2,0,2750,EXIT,2026-01-10 09:51:49
Gulce,2,0,2040,EXIT,2026-01-10 10:12:58
Gulce,2,0,615,EXIT,2026-01-10 10:28:16
Gulce,2,2500,1780,GAME_OVER,2026-01-10 10:45:12
Gulce,2,0,300,EXIT,2026-01-10 10:54:11
Gulce,1,0,440,EXIT,2026-01-10 11:03:10
Gulce,2,0,360,EXIT,2026-01-10 11:03:29
Gulce,1,0,700,EXIT,2026-01-10 11:08:16
Gulce,2,5100,1725,GAME_OVER,2026-01-10 11:30:31
Gulce,2,4520,875,GAME_OVER,2026-01-20 13:57:47
Gulce,2,0,700,EXIT,2026-01-20 13:58:03
Gulce,2,3480,1920,GAME_OVER,2026-01-29 19:48:45
